,trade_date,md_close,gl_close
467,20161219,28.85,25.39
468,20161216,29.2,25.78
469,20161215,27.83,25.5
470,20161214,28.4,25.32
471,20161213,28.8,25.28
472,20161212,29.29,25.37
473,20161209,30.18,24.88
474,20161208,29.11,24.96
475,20161207,28.89,24.17
476,20161206,28.87,23.79
477,20161205,28.62,24.16
478,20161202,29.87,24.31
479,20161201,30.85,24.68
480,20161130,30.28,24.93
481,20161129,31.47,24.74
482,20161128,30.12,25.0
483,20161125,29.0,25.26
484,20161124,28.98,25.14
485,20161123,28.05,25.06
486,20161122,27.44,24.62
487,20161121,27.58,24.83
488,20161118,27.13,24.94
489,20161117,27.0,24.97
490,20161116,26.94,24.62
491,20161115,27.0,24.09
492,20161114,27.1,24.66
493,20161111,27.43,24.2
494,20161110,27.57,24.0
495,20161109,27.18,24.16
496,20161108,27.4,24.99
497,20161107,26.95,24.75
498,20161104,26.99,25.3
499,20161103,27.4,25.54
500,20161102,27.48,25.34
501,20161101,27.77,26.99
502,20161031,27.15,26.24
503,20161028,26.76,26.19
504,20161027,26.68,26.33
505,20161026,26.67,25.88
506,20161025,26.8,28.76
507,20161024,26.66,30.59
508,20161021,26.38,28.47
509,20161020,26.25,27.23
510,20161019,26.14,26.38
511,20161018,26.35,25.55
512,20161017,26.27,23.23
513,20161014,26.37,22.8
514,20161013,26.3,22.52
515,20161012,26.81,22.84
516,20161011,27.0,22.4
517,20161010,26.95,22.42
518,20160930,27.01,22.63
519,20160929,26.5,23.03
520,20160928,26.19,22.55
521,20160927,26.16,22.44
522,20160926,26.02,21.82
523,20160923,26.26,21.78
524,20160922,26.15,21.88
525,20160921,25.97,21.74
526,20160920,25.91,21.94
527,20160919,26.0,22.07
528,20160914,25.4,22.2
529,20160913,26.34,22.11
530,20160912,26.29,22.11
531,20160909,27.02,22.22
532,20160908,27.21,21.84
533,20160907,27.23,21.9
534,20160906,27.31,22.03
535,20160905,27.43,21.51
536,20160902,27.12,21.44
537,20160901,27.47,21.75
538,20160831,27.4,22.0
539,20160830,26.87,22.02
540,20160829,27.05,22.09
541,20160826,27.22,21.43
542,20160825,27.5,21.98
543,20160824,27.3,22.07
544,20160823,27.63,22.26
545,20160822,27.42,22.48
546,20160819,27.86,22.86
547,20160818,28.07,23.0
548,20160817,28.43,21.44
549,20160816,28.35,19.49
550,20160815,27.92,19.22
551,20160812,27.04,19.22
552,20160811,27.24,19.2
553,20160810,27.23,19.07
554,20160809,27.83,18.64
555,20160808,27.69,18.85
556,20160805,27.97,19.0
557,20160804,27.69,18.84
558,20160803,28.01,18.96
559,20160802,27.6,18.44
560,20160801,27.76,18.73
561,20160729,28.2,18.31
562,20160728,27.78,18.48
563,20160727,26.96,18.6
564,20160726,27.54,19.23
565,20160725,26.66,19.09
566,20160722,27.28,18.71
567,20160721,28.07,19.28
568,20160720,27.3,19.66
569,20160719,27.45,18.85
570,20160718,28.46,18.8
571,20160715,28.65,19.55
572,20160714,27.04,19.3
573,20160713,27.35,19.55
574,20160712,27.46,19.39
575,20160711,24.96,20.25
576,20160708,24.15,19.58
577,20160707,24.44,21.02
578,20160706,24.38,20.85
579,20160705,24.1,20.26
580,20160704,24.45,20.26
581,20160701,24.08,20.26
582,20160630,23.72,20.26
583,20160629,23.37,20.26
584,20160628,23.35,20.26
585,20160627,23.64,20.26
586,20160624,22.83,20.26
587,20160623,22.7,20.26
588,20160622,22.96,20.26
589,20160621,22.72,20.26
590,20160620,22.96,20.26
591,20160617,22.43,20.26
592,20160616,22.36,20.26
593,20160615,22.78,20.26
594,20160614,22.58,20.26
595,20160613,22.3,20.26
596,20160608,22.68,20.26
597,20160607,23.13,20.26
598,20160606,23.73,20.26
599,20160603,23.08,20.26
600,20160602,22.56,20.26
601,20160601,22.86,20.26
602,20160517,21.35,20.26
603,20160516,21.8,20.26
604,20160513,21.51,20.26
605,20160512,21.9,20.26
606,20160511,21.96,20.26
607,20160510,21.08,20.26
608,20160509,20.35,20.26
609,20160506,20.35,20.26
610,20160505,32.99,20.26
611,20160504,32.96,20.26
612,20160503,33.84,20.26
613,20160429,32.1,20.26
614,20160428,30.78,20.26
615,20160427,30.98,20.26
616,20160426,31.38,20.26
617,20160425,31.2,20.26
618,20160422,30.8,20.26
619,20160421,29.74,20.26
620,20160420,29.88,20.26
621,20160419,30.78,20.26
622,20160418,30.62,20.26
623,20160415,30.96,20.26
624,20160414,30.92,20.26
625,20160413,30.68,20.26
626,20160412,30.46,20.26
627,20160411,30.4,20.26
628,20160408,30.02,20.26
629,20160407,30.1,20.26
630,20160406,30.75,20.26
631,20160405,30.79,20.26
632,20160401,30.59,20.26
633,20160331,30.85,20.26
634,20160330,30.53,20.26
635,20160329,29.99,20.26
636,20160328,30.6,20.26
637,20160325,31.4,20.26
638,20160324,30.87,20.26
639,20160323,30.28,20.26
640,20160322,30.54,20.26
641,20160321,30.38,20.26
642,20160318,30.04,20.26
643,20160317,29.85,20.26
644,20160316,29.26,20.26
645,20160315,29.64,20.26
646,20160314,29.55,20.26
647,20160311,29.0,20.26
648,20160310,29.03,20.26
649,20160309,28.78,20.26
650,20160308,28.85,20.26
651,20160307,29.23,20.26
652,20160304,29.12,20.26
653,20160303,28.6,20.26
654,20160302,29.18,20.26
655,20160301,26.96,20.26
656,20160229,26.07,20.26
657,20160226,26.84,20.26
658,20160225,26.47,20.26
659,20160224,27.84,20.26
660,20160223,27.87,20.26
661,20160222,28.04,20.26
662,20160219,27.6,20.26
663,20160218,27.86,20.26
664,20160217,27.95,20.26
665,20160216,27.74,20.26
666,20160215,26.96,20.26
667,20160205,27.42,20.26
668,20160204,27.29,20.26
669,20160203,27.17,20.26
670,20160202,27.61,20.26
671,20160201,27.35,20.26
672,20160129,27.31,20.26
673,20160128,26.51,20.26
674,20160127,26.23,20.26
675,20160126,25.85,20.26
676,20160125,27.2,20.26
677,20160122,27.08,20.26
678,20160121,27.03,20.26
679,20160120,28.03,20.26
680,20160119,28.82,20.26
681,20160118,27.8,20.26
682,20160115,28.39,20.26
683,20160114,29.6,20.26
684,20160113,28.99,20.26
685,20160112,28.81,20.26
686,20160111,28.4,20.26
687,20160108,29.81,20.26
688,20160107,29.04,20.26
689,20160106,31.59,20.26
690,20160105,31.33,20.26
691,20160104,29.72,20.26
